Food code,Food Name,Energy (Kcal),Protein,Total fat,Carbohydrates,Total Dietary Fibre,Vitamin A,Vitamin D,Vitamin K,Vitamin E,Calcium,Phosphorus,Magnesium,Sodium,Potassium
SLAOOI,Barley (Hordeum vulgare),313,11.4,1.18,60.9,15.48,,,1.98,0.01,26.52,224,57.44,6.71,261
SLA002,"Maize, dry, local (Zea mays)",338,8.47,4.58,64.43,12.35,42.41,32.6,2.68,0.3,9.2,268,139,4.61,288
SLA003,"Maize, tender, local (Zea mays)",119,3.01,1.23,23.54,3.46,7.91,46.96,2.04,0.09,5.1,182,41.11,2.31,183
SLA004,"Maize, tender, sweet (Zea mays)",94,3.86,1.43,15.92,3.93,11.52,15.48,2.26,0.09,6.52,111,34.71,2.19,298
SLA005,"Millet, finger (Eleusine coracana)",322,7.11,1.77,67.45,11.16,0.22,41.82,3.25,0.15,419,246,148,4.72,418
SLA006,"Rice, flakes (Oryza sativa)",350,7.29,1.17,76.08,3.93,,,0.95,0.06,11.1,214,98.29,2.48,148
SLA007,"Rice, kaluhinati (Oryza sativa)",348,9.88,1.9,72.28,5.21,,,2.75,0.07,10.85,243,35.55,7.63,149
SLA008,"Rice, keeri samba (Oryza sativa)",368,8.47,1.84,79.41,1.17,,,2.56,0.08,6.57,163,22.18,2.09,155
SLA009,"Rice, kekulu, red (Oryza sativa)",366,8.64,2.12,77.59,3.18,,,2.67,0.09,4.73,195,31.7,1.61,169
SLAOIO,"Rice, kekulu, white (Oryza sativa)",361,9.88,1.52,76.67,2.36,,,2.85,0.08,6.94,150,26.29,1.55,87.92
SLAO11,"Rice, nadu, white (Oryza sativa)",366,7.76,1.48,80.11,2.45,,,2.91,0.08,4.57,119,20.1,3,147
SLA012,"Rice, samba (Oryza sativa)",369,6.86,2.45,79.53,3.24,,,2.23,0.08,8.71,192,37.26,2.16,154
SLA013,"Rice, samba kekulu (Oryza sativa)",355,8.81,1.53,76.12,4.42,,,2.52,0.09,9.28,147,30.48,1.53,149
SLA014,"Vermicelli, rice (Triticum aestivum)",365,7.29,1.13,80.97,2.68,,,1.64,0.01,1.74,95.94,23.67,17.83,61.98
SLA015,"Vermicelli, wheat (Triticum aestivum)",332,9.31,0.42,70.69,9.81,0.33,4.19,1.35,0.03,21.89,97,38.71,3.75,160
SLA016,Water lily seeds (Nymphaea cereals),349,9.84,2.22,71.89,6.96,,,2.84,0.07,27.99,180,55.12,0.68,162
SLA017,"Wheat, flour, atta (Triticum aestivum)",319,10.25,1.4,64.19,11.54,0.37,10.31,1.68,0.38,22.09,116,27.32,1.13,140
SLA018,"Wheat, flour, refined (Triticum aestivum)",355,10.42,0.73,75.25,2.99,0.49,5.67,0.95,0.06,26.78,106,41.8,2,290
SLA019,"Wheat, semolina (Triticum aestivum)",332,10.85,0.72,68.83,9.57,0.24,7.09,1.4,0.2,21.89,97,38.71,3.75,160
SLKOOI,Cardamom (Elettaria cardamomum),260,8.25,2.75,48.59,23.1,3.95,40.25,7.01,0.78,329,135,259,14.78,1251
SLK002,"Chillies, dark green, short (Capsicum annum)",39,2.28,0.76,5.25,4.24,38.16,4.29,23.28,0.24,20.25,59.83,36.91,2.94,379
SLK003,"Chillies, yellowish green, long (Capsicum annum)",44,2.21,0.75,6.26,5.09,32.16,3.1,23.85,0.26,15.36,49.55,29.99,2.59,317
SLK004,"Chillies, red, dry (Capsicum annum)",233,12.68,6.41,28.73,31.17,437,26.67,279,1.18,107,345,231,22.45,2184
SLK005,Cloves (Syzygium aromaticum),187,6.04,8.45,18.73,34.88,13,41.95,192,0.72,466,113,378,193,1402
SLK006,Coriander seeds (Coriandrum sativum),257,10.38,17.21,10.43,46.96,23.5,1.3,32.7,0.96,724,295,366,34.01,1413
SLK007,"Coriander, leaves (Coriandrum sativum)",31,3.27,0.71,2.25,4.54,586,3.78,276,0.41,142,43.3,49.97,46.5,373
SLK008,Cumin seeds (Cuminum cyminum),298,13.43,16.66,21.46,30.99,12.52,12.14,148,1.46,905,381,432,129,1993
SLK009,Curry leaves (Murraya koenigii),58,7.19,1.04,3.01,18.27,1389,125,268,1.9,680,64.44,184,19.66,602
SLKOIO,Fenugreek seeds (Trigonella foenum graecum),235,25.05,5.73,11.05,46.93,23.83,2,1.67,0.02,146,632,211,40.12,881
SLKOII,Garlic (Allium sativum),122,6.76,0.14,21.75,5.53,,1.76,2.02,0.05,14.65,102,24.07,10.62,377
SLK012,"Ginger fresh, large (Zingiber officinale)",56,2.23,0.81,9.43,4.6,15.02,4.04,28.56,0.35,20.69,46.33,59.93,11.73,401
SLK013,"Ginger fresh, small (Curcuma amada)",41,1.22,0.67,7.08,5,10.59,3.22,26.92,,11.53,73.48,29.62,5.81,381
SLK014,Mint leaves (Mentha spicata),37,4.72,0.7,2.32,6.09,672,3.28,184,0.46,222,91.58,153,12.41,535
SLK015,Nutmeg (Myristica fragrans),466,6.08,36.55,28.54,11.66,2.63,47.08,61.15,1.25,146,247,185,14.32,474
SLK016,"Onion, big (Allium cepa)",48,1.67,0.24,9.54,2.66,0.16,0.53,5.35,0.05,14.82,36.8,16.94,4.94,214
SLK017,"Onion, small, shallots (Allium cepa)",55,2.13,0.15,11.05,1.2,0.18,0.16,6.79,0.05,20.37,54.19,19.32,4.13,204
SLK018,"Pepper, black (Piper nigrum)",218,10.17,2.76,36.35,33.11,157,25.02,186,1.47,456,127,154,28.94,1768
SLK019,Turmeric powder (Curcuma domestica),281,7.46,5.04,49.65,21.76,9.13,16.47,13.85,3.13,110,296,238,26.01,2445
SLHOOI,"Egg, country, whole, raw",170,13.14,13,,,208,4.46,64,2.1,50.14,198,11.04,157,117
SLH002,"Egg, table, white, raw",43,10.71,0.06,,,,0.99,,,5.05,15,10.8,167,155
SLH003,"Egg, table, whole, raw",135,13.55,9.03,,,200,0.92,14.82,1.96,63.3,189,12,110,128
SLH004,"Egg, table, yolk, raw",299,15.85,26.22,,,530,3.4,42.81,3.09,109,561,13.3,49,128
SLH005,"Egg, quail, whole, raw",153,12.39,11.46,,,153,5.72,8.19,0.99,60.67,236,11.21,132,119
SLH006,"Chicken, Broiler, breast, skinless",176,23.14,9.24,,,6.88,,31.65,0.23,15.06,177,20.18,30.42,302
SLH008,"Chicken, Broiler, drumstick, skinless",186,18.57,12.45,,,9.77,,9.6,0.67,20.77,194,22,58.7,279
SLH007,"Chicken, Broiler, gizzard",91,18.22,2.07,,,46.8,1.6,28.58,0.63,5.46,119,13.95,50.6,244
SLH009,"Chicken, Broiler, liver",123,21.57,4.08,,,3486,2.62,14.3,0.73,4.1,244,16.1,61.58,241
SLHOIO,"Chicken, Broiler, thigh, skinless",211,18.61,15.15,,,18.2,,14.67,0.54,18.09,180,22.64,50.08,257
SLHOII,"Chicken, country, breast, with skin",180,22.08,10.2,,,8.5,0.8,28.88,0.36,12.49,222,21.74,23.13,365
SLH012,"Chicken, country, leg, with skin",174,17.01,11.73,,,17.4,1.12,11.31,0.7,22.56,250,24.72,50.46,357
SLH013,"Chicken, country, thigh, with skin",189,18.29,12.82,,,27,1.05,18.5,0.55,20.12,232,23.54,51.14,330
SLH014,"Chicken, country, wing, with skin",183,18.65,12.09,,,27.5,0.61,31.65,0.58,35.46,235,25.46,54.15,249
SLH015,"Turkey, breast, with skin",160,21.96,8.04,,,8.9,0.52,26.43,0.57,14.35,182,21.83,40.45,315
SLH016,"Beef, chops",160,23.3,7.45,,,2.15,,7.8,0.4,4.8,219,28.54,52.69,367
SLH017,"Beef, liver",112,20.08,3.54,,,7959,,4,0.6,4.99,326,17.44,51.32,286
SLH018,"Goat, chops",138,20.37,6.23,,,2.7,,6.8,0.13,7.58,178,19.5,55.71,333
SLH019,"Pork, shoulder",161,18.83,9.5,,,1.9,5.63,3.02,0.11,6.58,143,8.9,40.33,243
SLFOOI,Anchovy (Stolephorus indicus),87,19.88,0.78,,,12.18,3.31,0.6,0.73,36.6,246,53,212,270
SLF002,Asian Seabass (Lates calcarifer),67,15.28,0.29,,,5.58,1.35,0.63,0.38,8.84,188,24.16,63.68,355
SLF003,"Barracuda, Pickhandle (Sphyraena jello)",107,22.46,1.74,,,24.82,2.27,1.72,0.36,11.42,251,29.9,38.73,453
SLF004,Cat fish (Tachysurus thalassinus),109,22.18,2.13,,,14.08,3.77,0.96,0.38,5.54,252,25.69,35.82,429
SLF005,Cobia (Rachycentron canadum),97,20.21,1.68,,,1.39,2.47,0.62,0.72,6.55,219,24.71,51.41,343
SLF006,"Emperor fish, Spangled (Lethrinus nebulosus)",108,22.45,1.92,,,3.16,1.43,1.06,1.49,6.65,249,31.12,30.53,467
SLF007,Green chromide (Etroplus suratensis),92,19.68,1.38,,,1.29,1.52,12.04,0.37,11.73,192,28.49,23.72,452
SLF008,Grouper (Epinephelus coioides),89,19.38,1.2,,,1.29,2.21,1.63,0.33,10.66,177,22.87,40.14,279
SLF009,Hairtail fish (Lepturacanthus savala),128,21.95,4.44,,,2.88,2.15,0.98,0.55,16.53,170,29.87,82.65,263
SLFOIO,Indian mackerel (Rastrelliger kanagurta),101,21.51,1.53,,,16.34,1.37,5.25,0.71,31.27,231,37.46,83.01,309
SLFOII,Leatherjacket fish (Aluterus monoceros),75,17.17,0.67,,,1.37,0.41,0.77,1.09,10.22,203,25.85,37.12,306
SLF012,Mahi-mahi (Coryphaena hippurus),101,22.05,1.33,,,3.52,1.68,0.75,0.58,9.32,258,32.27,36.2,439
SLF013,Marlin (Istiompax indica),97,22.89,0.56,,,21.51,1.28,0.89,0.53,7.2,268,30.08,61.96,365
SLF014,Mauve-lip thread fin bream (Nemipterus mesoprion),126,22.07,4.2,,,25.61,1.84,1.02,0.58,8.62,207,26.23,36.06,390
SLF015,"Pomfret, Black (Parastromateus niger)",104,21.6,1.8,,,14.3,2.49,8.88,1,11.32,245,34.38,44.86,470
SLF016,Rainbow runner (Elagatis bipinnulata),87,20.02,0.7,,,1.49,1.71,1.06,0.41,8.17,252,31.68,37.6,406
SLF017,"Ray, Shortfin devil (Mobula kuhlii)",98,23.07,0.56,,,1.52,0.08,1.54,0.24,11.02,231,28.46,59.03,387
SLF018,"Ray, Stingray (Dasyatis pastinaca)",97,23.98,0.68,,,7.55,1.82,0.9,0.28,9.16,174,24.61,64.14,270
SLF019,"Sailfish, Indo-Pacific (Istiophorus platypterus)",91,16.04,2.88,,,12.03,,2.46,0.08,7.64,154,24.89,66.56,282
SLF020,"Sardinella, Goldstripe (Sardinella gibbosa)",100,19.5,2.39,,,15.41,,1.78,1.83,435,97.39,42.83,86.65,284
SLF021,"Sardinella, spotted (Amblygaster sirm)",88,17.08,2.18,,,10.02,,1.46,0.59,103,106,35.45,52.57,155
SLF022,"Sardinella, White (Sardinella albella)",152,17.91,8.99,,,12.66,3.51,2.65,0.38,42.26,191,24.39,38.49,228
SLF023,"Scad, mackerel (decapterus macarellus)",112,20.3,3.37,,,15.78,,3.03,0.9,155,240,33.29,71.73,160
SLF024,"Scad, yellow-stripe (Selaroides leptolepis)",86,15.69,2.67,,,2.65,,1.39,0.1,193,225,30.74,65.9,236
SLF025,Seer fish (Scomberomorus commerson),136,22.28,5.18,,,81.9,1.92,0.65,0.67,9.85,302,36.73,34.85,473
SLF026,"Shark, great Hammerhead (Sphyrna mokarran)",103,23.4,0.8,,,20.55,1.28,1.16,0.78,7.92,200,25.11,53.55,304
SLF027,"Shark, Silky (Carcharhinus falciformis)",95,21.6,0.83,,,1.11,1.08,0.78,0.22,8.44,263,32.58,63.63,372
SLF028,Swordfish (Xiphias gladius),88,19.82,0.88,,,1.14,0.37,0.78,0.76,12.08,255,26.38,66.21,306
SLF029,"Trevally, Blacktip (Carnax heberi)",104,21.58,1.84,,,3.23,3.3,0.97,0.3,13.52,284,27.59,45.22,384
SLF030,"Treval , Diamond Alectis indicus",101,22.09,1.27,,,12.37,1.05,0.92,0.7,9.04,252,32.36,59.57,432
SLF031,"Trevally, giant (Caranx ignobilis)",104,21.87,1.68,,,2.58,1.28,1.17,1.07,6.03,246,27.53,22.33,379
SLF032,"Trevally, Bigeye (Caranx sexfasciatus)",103,21.95,1.6,,,2.93,1.19,1.11,0.9,7.21,235,26.33,49.51,384
SLF033,Triggerfish (Canthidermis maculanta),86,19.7,0.69,,,1.46,1.02,0.63,0.25,9.83,256,28.98,33.87,490
SLF034,"Tuna, Frigate (Auxis thazard)",104,17.88,3.38,,,14.42,,0.9,1.67,43.38,211,30.89,85.82,319
SLF035,"Tuna, Mackerel (Euthynnus affinis)",112,24.5,1.44,,,16.65,3.26,11.63,0.57,9.82,292,35.85,52.89,357
SLF036,"Tuna, Skipjack (Katsuwonus pelamis)",96,21.28,1.12,,,21.01,0.9,1.23,0.14,6.45,209,26.02,22.6,273
SLF037,"Tuna, Yellowfin (Thunnus albacares)",109,21.47,2.55,,,15.95,,1.64,1.6,13.35,234,33.82,80.38,222
SLF038,Wolf-herring (Chirocentrus nudus),97,21.8,1.06,,,1.25,0.3,0.84,0.31,37.06,229,39.05,91.91,365
SLF039,"Squid, hardshell (Sopia pharaonis)",76,16.82,0.93,,,1.93,1.88,2.26,0.55,8.73,173,35.46,99.14,116
SLF040,"Squid, Long barrel (Loligo singhalensis)",84,17.41,1.15,,,8.55,1.35,1.84,0.66,36.46,151,38.53,154,134
SLF041,"Squid, red (Loligo duvaucelii)",78,16.25,1.44,,,4.72,1.95,1.14,0.47,14.15,167,35.74,121,134
SLF042,Octopus (Octopus vulgaris),79,14.71,1.12,,,28,1.63,0.84,0.66,22.1,131,50.92,230,181
SLF043,"Prawn, green tiger (Penaeus semisulcatus)",65,14.85,0.56,,,1.24,2.93,2.97,3.04,37.81,189,45.93,188,141
SLF044,"Prawn, giant tiger (Penaeus monodon)",64,14.25,0.74,,,6.55,4.77,2.32,2.87,71.89,191,30.5,61.05,140
SLF045,"Crab, mud (Scylla tranquebarica)",45,10,0.55,,,8.33,1.64,1.03,2.34,201,153,46.92,305,227
SLF046,"Crab, Three-spot (Portunus sanguinolentus)",67,15.36,0.6,,,5.02,1.13,1.11,2.06,333,193,80.04,313,252
SLF047,"Clam, white shell (Meretrix meretrix)",59,11.82,1.34,,,8.5,2.58,1.53,1.21,50,192,86.64,404,245
SLF048,"Cat fish, (Heteropneustes fossilis)",124,15.86,6.24,,,13.59,1.92,0.96,0.38,21.99,157,18.78,29.29,250
SLF049,Eel (Anguilla bengalensis),108,20.41,2.63,,,866,6.66,1.23,1.8,52.99,361,42.5,88.67,450
SLF050,Thilapia (Oreochromis niloticus),83,18.48,1.08,,,17.14,1.25,3.65,1.86,99.39,184,24.96,52.55,255
SLF051,"Prawn, giant (Macrobrachium rosenbergii)",90,19.24,0.52,,,3.56,0.85,0.84,2.85,48.55,237,39.25,849,269
SLF052,Anchovy sprats (Stolephorus indicus),259,51.16,5.92,,,12.83,,1.12,,1178,419,162,10921,694
SLF053,Baby shrimps (karandi spp),280,61.12,3.74,,,13.79,,1.4,1.34,1978,532,319,9146,1024
SLF054,Maldives fish (Tuna spp),303,61.32,6.26,,,22.29,,0.66,0.41,51.12,461,133,10612,804
SLF055,"Marlin, Indo-Pacific Sailfish (Istiophorus platypterus)",289,54.68,8.04,,,9.38,,1.17,0.64,62.75,179,110,13730,743
SLF056,Queenfish (Seriphus politus),275,50.04,8.31,,,2.48,,0.94,0.07,86.55,162,92.17,13679,817
SLF057,Shark (Carcharhinus falciformis),267,55.03,5.25,,,10.31,,0.16,0.9,42.24,146,92.94,10585,837
SLF058,Skipjack tuna (Katsuwonus pelamis),282,63.79,3.37,,,14.32,,0.48,,83.48,185,83.45,7909,765
SLF059,Smooth belly sardinella (Amblygaster leiogaster),311,49.6,12.42,,,12.92,,1.54,0.01,555,580,166,13018,787
SLEOOI,"Apple, green (Malus domestica)",51,0.46,0.5,10.65,2.54,0.4,2.45,2.13,0.1,13.68,10.44,8.09,1.43,116
SLE002,"Apple, red (Malus domestica)",62,0.29,0.64,13.11,2.59,0.36,2.1,38.74,0.02,6.53,7.48,5.42,1.47,94.55
SLE003,Avocado fruit (Persea americana),144,2.95,13.86,1.75,6.69,2,1.6,4.5,0.6,28.48,63.14,48.14,2.81,377
SLE004,Bael fruit (Aegle marmelos),133,2.63,0.57,28.21,6.31,0.42,,,,47.95,37.29,34.1,1.56,409
SLE005,"Banana, ripe, ambul (Musa x paradisiaca)",109,1.11,1.09,23.37,2.27,9.68,,5.44,0.78,9.39,20.31,25.67,3.15,437
SLE006,"Banana, ripe, anamalu (Musa x acuminata)",102,1.04,0.72,22.5,3.55,16.4,,3.1,0.08,8.06,27.15,27.02,2.89,449
SLE007,"Banana, ripe, pome (Musa x paradisiaca)",110,1.25,0.32,24.95,2.21,9.14,0.24,,0.01,6.77,20.85,30.22,1.25,362
SLE008,"Banana, ripe, silk (Musa x paradisiaca)",107,1.38,0.34,23.92,1.91,8.8,0.21,1.9,0.01,8.56,31.12,38,1.13,324
SLE009,"Banana, ripe, red (Musa x paradisiaca)",111,1.29,0.29,25.21,1.98,8.76,0.2,4.67,0.08,9.56,23.27,31.44,1.11,313
SLEOIO,"Banana, ripe, Cavendish (Musa x paradisiaca)",99,1.14,0.33,22.41,1.83,10.95,14.84,1.8,0.48,6,17.66,27.49,0.94,261
SLEOII,"Black-purple berries, Java plum (Syzygium cumini)",56,0.9,0.65,10.95,4.76,8.46,0.18,58,0.2,26.38,23.49,34.19,1.17,238
SLE012,Ceylon olive (Elaeocarpus serratus),80,1.48,0.27,17.73,3.28,9.94,,7.1,0.01,21.11,20.88,17.66,1.99,351
SLE013,"Custard apple, sweetsop (Annona squamosa)",98,1.62,0.67,20.38,5.1,,0.8,5.26,0.02,28.2,40.81,38.47,3.11,278
SLE014,"Dates, processed (Phoenix dactylifera)",285,1.28,0.41,67.71,6.57,569,0.29,1.54,0.13,15.59,33.85,14.31,1.63,296
SLE015,"Gooseberry, Indian (Emblica officinalis)",26,0.33,0.16,5.31,7.21,0.27,6.19,3.65,0.05,19.52,20.28,6.53,1.15,222
SLE016,"Grapes, seeded, round, black (Vitis vinifera)",60,0.76,0.32,13.23,1.35,4.89,3.51,6.8,0.09,10.57,21.04,7.47,1.93,171
SLE017,"Grapes, seeded, round, green (Vitis vinifera)",55,0.62,0.31,12.13,1.24,4.08,7.01,5.26,0.05,,,,,
SLE018,"Grapes, seeded, round, red (Vitis vinifera)",49,0.95,0.23,10.69,1.21,3.22,6.57,3.35,0.04,7.27,25.51,6.86,0.87,178
SLE019,"Grapes, seedless, oval, black (Vitis vinifera)",99,1.72,0.64,20.99,1.86,2.88,3.51,7.25,0.09,19.06,33.42,9.49,1.5,245
SLE020,"Grapes, seedless, round, green (Vitis vinifera)",58,0.68,0.25,12.93,1.24,5.63,,,,16.82,20.69,10.55,1.12,170
SLE021,"Guava, kilo pera (Psidium guajava)",39,1.53,0.38,6.88,6.31,19.67,,2.98,0.09,6.59,15.27,12.02,1.95,296
SLE022,"Guava, pink flesh (Psidium cattleyanum)",47,1.14,0.27,9.48,6.83,29.17,1.46,3.9,0.11,18.71,21.94,15.38,1.95,266
SLE023,"Guava, white flesh (Psidium guajava)",31,1.5,0.31,4.85,8.54,52.5,,,,17.6,20.73,14.5,2.96,241
SLE024,"Jack fruit, ripe (Artocarpus heterophyllus)",72,3.3,0.14,13.49,3.52,4.15,0.85,8.09,0.06,28.38,12.06,31.59,1.64,268
SLE025,"Jamun fruit, rose apple, white (Syzygium cumini)",56,0.67,0.18,12.55,3.06,,1.43,2.5,0.04,28.62,10.95,29.8,2.65,115
SLE026,Karonda fruit (Carissa carandas),33,1.15,1.67,2.87,7.25,2.6,0.34,2.55,0.06,10.81,32.62,24.45,2.55,351
SLE027,"Lemon, juice (Citrus limon)",38,0.37,0.76,7.36,,0.43,0.43,2.24,0.04,22.43,10.03,9.35,0.94,144
SLE028,"Lime, sweet, pulp (Citrus limetta)",26,0.66,0.26,4.99,1.92,0.36,3.72,5,0.34,26,19.46,15.25,0.81,200
SLE029,"Mandarine, heen naran (Citrus reticulate)",46,1.07,0.37,9.27,2.27,23.44,,2.07,0.02,31.18,13.88,20.36,1.74,226
SLE030,"Mango, ripe, bud (Mangifera indica)",40,0.57,0.57,7.67,2.13,173,,,,13.51,12.4,14.87,1.32,160
SLE031,"Mango, ripe, karthakolomban (Mangifera indica)",79,0.8,0.92,16.7,1.98,259,,5.15,0.28,3.12,7.88,6.72,1.48,259
SLE032,"Mango, ripe, Tom EJC (Mangifera indica)",75,0.76,0.98,15.49,1.7,169,,4.9,0.23,3.88,12.22,9.35,1.4,288
SLE033,"Mango, ripe, vilad (Mangifera indica)",44,0.76,0.58,8.44,1.82,146,,5.5,0.05,16.93,17.33,14.79,1.6,171
