Food code,Food Name,Energy (Kcal),Protein,Total fat,Carbohydrates,Total Dietary Fibre,Vitamin A,Vitamin D,Vitamin K,Vitamin E,Calcium,Phosphorus,Magnesium,Sodium,Potassium
SLE034,Mangosteen (Garcinia mangostana),52,0.63,0.24,11.41,1.87,0.3,,33.18,0.38,4.69,7.18,12,3.79,46.93
SLE035,Manila tamarind (Pithecellobium dulce),81,3.56,1.14,13.54,4.4,0.36,4.79,5.28,0.01,8.51,73.53,32.98,1.35,376
SLE036,"Musk melon, cantaloupe, orange (Cucumis melon)",23,0.38,0.38,4.46,1.12,142,,3.6,0.02,7.64,18.04,8.01,16.63,150
SLE037,"Palm fruit, tender (Borassus flabellifer)",24,0.5,0.12,4.92,2.4,,11.57,2.79,0.03,,,,1.25,158
SLE038,"Papaya, ripe (Carcia papaya)",26,0.42,0.16,5.28,3.18,171,,,,16.77,15.12,8.9,6.57,181
SLE039,"Passion fruit, seeded, yellow (Passiflora edulls)",83,2.33,2.42,12.64,5.9,97.5,,0.84,0.43,6.22,38.84,29.48,5,374
SLE040,Pear (Prunus persica),37,0.4,0.29,8.08,4.34,2.34,0.21,2.45,0.4,5.04,5.25,6.58,1.69,103
SLE041,Pineapple (Ananas comosus),37,0.41,0.17,8.23,3.53,5.76,106,18.93,0.02,10.37,10.82,10.71,1.39,133
SLE042,"Pomegranate, maroon seeds (Punica granatum)",55,1.42,0.11,11.8,2.85,0.51,0.97,5.65,0.55,12.11,37.99,11.64,2.19,204
SLE043,Pummelo (Citrus maxima),43,0.63,0.43,8.99,0.83,,1.78,1.54,0.02,14.92,12.38,8.61,1.08,186
SLE044,"Raisins, dried, black (Vitis vinifera)",308,2.65,0.37,71.83,3.85,0.44,13.72,1.8,0.02,72.88,81.59,32.8,10.39,1167
SLE045,"Raisins, dried, golden (Vitis vinifera)",294,2.54,0.32,68.74,4.36,0.44,2.4,19.7,0.08,46.66,80.45,30.43,10.12,985
SLE046,Rambutan (Nephelium lappaceum),73,0.68,0.16,16.84,1.02,0.48,0.65,4,0.27,8.67,6.98,21.38,1.75,131
SLE047,Sapota (Achras sapota),78,0.9,1.28,15.02,9.69,13.15,3.24,2.6,0.06,17.97,21.72,16.85,4.63,275
SLE048,Soursop (Annona muricata),62,0.74,0.94,11.94,4.95,0.36,0.96,2,0.4,10.05,25.83,17.7,6.78,264
SLE049,Star fruit (Averrhoa carambola),26,0.79,0.39,4.51,2.81,0.23,3.95,19.81,0.26,4.97,11.67,11.53,1.56,159
SLE050,Strawberry (Fragaria ananassa),24,0.97,0.56,3.4,2.5,0.36,26.21,1.7,0.11,15.28,26.31,15.53,1.19,140
SLE051,"Tamarind, pulp (Tamarindus indicus)",289,2.48,0.15,67.98,5.73,0.24,,,,154,98,92.59,27.18,839
SLE052,"Water melon, dark green (Citrullus vulgaris)",19,0.65,0.16,3.54,0.65,130,0.59,2.68,0.05,4.05,13.6,9.76,1.53,134
SLE053,"Water melon, pale green (Citrullus vulgaris)",16,0.62,0.15,3.01,0.86,63.66,31.83,,0.07,3.85,10.07,7.29,1.57,130
SLE054,Wood Apple (Limonia acidissima),78,3.09,3.62,7.43,5.54,0.46,,,,59.15,81.13,25.16,1.45,348
SLGOOI,"Butter, Salted",733,0.9,81,0.2,,633,1.5,,1.85,24,24,2,714,24
SLG002,"Cheese, cheddar, regular fat",380,19.75,28.27,11.67,,198,,,,643,556,,1304,
SLG003,"Cheese, cottage, panner",346,24.6,25.1,5.4,,205,0.3,,0.49,790,414,22,509,83
SLG004,"Curd, buffalo. whole",99,6.32,6.55,3.86,,,,,0.21,90.65,90.89,9.39,9.49,86.92
SLG005,"Ghee, Cow",898,,99.8,,,642,1.9,,3.31,1,,,2,1
SLG006,"Milk, cow, condensed, sweetened, whole",334,8.2,9.4,54,,95,0.2,,0.19,287,247,28,134,366
SLG007,"Milk, cow, liquid, full cream",63,3.1,3.7,4.3,,32,,,0.08,103,90,13,51,131
SLG008,"Milk, cow, liquid, low fat",52,3.71,1.31,6.27,,12,,,,127,106,12,50,168
SLG009,"Milk, cow, liquid, non-fat",30,3.1,0.1,4.1,,,,,0.01,103,90,13,51,131
SLGOIO,"Milk, cow, powdered, skimmed",358,37.6,1,49.8,,,,,0.1,1370,956,110,435,1600
SLGOII,"Milk, cow, powdered, whole",497,26.6,26.7,37.5,,238,,,0.59,959,758,92,365,1180
SLG012,"Milk, goat, whole",68,3.5,4.1,4.2,,32,0.06,,0.03,152,111,14,50,204
SLG013,"Yoghurt, low fat, plain",73,9.95,1.92,3.94,,90,,0.2,0.04,115,137,11,34,141
SLG014,"Yoghurt, whole",94,4.51,3.04,12.03,,20,,,,127,113,,63,
SLCOOI,"Bengal gram, dhal (Cicer arietinum)",327,20.12,5.32,47.88,15.13,26.83,1.49,1.62,0.19,50.78,311,108,20.79,919
SLC002,"Bengal gram, whole (Cicer arietinum)",288,18.68,5.01,39.69,25.73,27,2,1.94,1.65,166,262,165,26.45,903
SLC003,"Black gram, dhal (Phaseolus mungo)",323,22.43,1.69,51.61,11.91,1.68,8.25,8.94,0.17,46.58,326,174,21.59,1169
SLC004,"Cowpea, brown (Vigna catjang)",320,20.24,1.08,54.96,11.46,0.96,0.93,1.8,0.73,81.83,382,194,13.77,1235
SLC005,"Cowpea, white (Vigna catjang)",320,21.25,1.14,53.77,11.7,1.36,0.93,1.7,0.65,84.1,378,213,12.52,1243
SLC006,"Green gram, dhal (Vigna radiata)",326,23.4,1.39,53.31,9.71,20.16,2.02,7.5,0.25,38.87,380,147,10.28,1215
SLC007,"Green gram, whole (Vigna radiata)",290,21.97,0.93,46.57,17.28,19.5,3.61,11.9,0.36,98.96,338,146,12.47,1127
SLC008,"Horse gram, whole (Dolichos biflorus)",328,21.27,0.64,57.35,7.89,8.64,1.74,10.54,0.24,309,295,132,11.89,1045
SLC009,"Lentil, dhal (Lens culinaris)",319,23.09,0.77,53.08,10.49,1.06,1.45,3.89,0.17,41.27,308,66.63,10.24,798
SLCOIO,"Peas, dry (Pisum sativum)",299,19.18,1.85,49.44,17.3,11.91,15,13.2,0.3,75.93,336,118,23.51,886
SLBOOI,Beet root (Beta vulgaris),31,2.12,0.15,5.01,3.46,1.52,0.16,2.92,0.09,20.29,41.51,34.88,70.11,298
SLB002,"Carrot, orange (Daucus carota)",30,0.85,0.45,5.04,4.39,1240,1.18,18.3,0.22,27.65,33.63,11.7,51.78,250
SLB003,Colocasia (Colocasia antiquorum),87,3.96,0.15,16.95,3.26,1.19,0.28,2.54,0.36,30.79,96.77,41.52,3.69,511
SLB004,Lasia stalk (Lasia spinosa),27,0.64,0.16,5.53,3.13,1.72,,6.3,0.08,52.33,10.31,33.95,16.39,560
SLB005,Lotus root (Nelumbium nelumbo),79,1.94,0.93,14.67,4.7,,0.27,44.45,0.73,37.71,74.3,26.58,20.63,611
SLB006,"Potato, brown skin, (Solanum tuberrosum)",71,1.67,0.25,15.09,1.72,,0.19,2.5,0.05,9.83,57.97,23.84,4.08,541
SLB007,"Radish, elongated, white skin (Raphanus sativus)",35,0.76,0.12,7.44,2.57,,0.06,2.45,0.01,32.4,25.03,19.86,21.79,248
SLB008,"Radish, round, red skin (Raphanus sativus)",31,0.89,0.16,6.07,2.29,0.2,0.05,2.6,0.01,35.76,28.27,22.25,32.27,308
SLB009,"Radish, round, white skin (Raphanus sativus)",29,0.75,0.11,5.87,2.56,,0.03,,0,35.64,34.04,13.56,19.46,298
SLBOIO,"Sweet potato, pink skin (Ipomoea batatas)",108,1.27,0.33,23.93,3.94,1.85,1.64,3.5,0.01,28.93,37.6,21.05,29.04,329
SLBOII,Tapioca (Manihot esculenta),78,0.92,0.19,17.58,4.75,,0.13,,0.17,19.78,44.9,23.73,10.75,276
SLB012,"Yam, elephant (Amorphophallus campanulatus)",84,2.22,0.15,17.83,4.14,32.04,1.09,5.52,0.34,38.36,47.22,28.85,16.83,633
SLB013,"Yam, wild (Dioscorea Dioscoreaalata L)",103,3.2,0.3,20.89,4.7,33.14,1.22,,0.49,40.99,67.17,28.98,12.74,740
SLDOOI,"Amaranth, leaves, green (Amaranthus gangeticus)",32,3.55,0.72,2.32,4.29,1474,14.43,281,0.51,258,85.5,209,18.91,623
SLD002,"Amaranth, leaves, red (Amaranthus gangeticus)",33,3.93,0.63,2.37,4.91,1409,15.1,312,0.46,245,75.98,177,14.58,564
SLD003,"Amaranth, spinosus, green (Amaranthus spinosus)",26,3.75,0.36,1.37,4.86,327,15.22,441,0.3,359,77.26,168,14.81,571
SLD004,Ambarella (Spondias dulcis),37,0.73,0.44,7.46,4.67,3.36,ND,16.23,0.43,20.7,14.6,9.28,5.99,174
SLD005,Ash gourd (Benincasa hispida),18,0.8,0.15,3.16,3.54,,1.27,26.8,0.02,19.27,26.35,23.62,0.56,312
SLD006,"Bean, scarlet, tender (Phaseolus coccineus)",46,2.85,0.98,6.26,4.28,6.64,1.62,64.13,0.11,35.68,62.55,45.56,1.17,163
SLD007,"Beans, fava (Vicia faba)",30,3.95,0.15,2.19,8.53,99,7.08,26.9,0.08,67.95,73.73,38.69,20.28,352
SLD008,"Beans, field, tender, (Dolichos lablab)",30,3.95,0.15,2.19,8.53,99.77,7.08,26.9,0.08,69.77,61.18,33.49,14.1,252
SLD009,"Beans, French, country (Phaseolus vulgaris)",26,2.68,0.24,3.04,4.41,70.59,1.95,14.3,0.1,60.45,77.95,50.12,8.68,389
SLDOIO,"Beans, French, hybrid (Phaseolus vulgaris)",22,2.12,0.19,2.63,4.18,32.33,1.85,15.14,0.1,49.9,45.9,34.98,9.18,317
SLDOII,"Beans, long, red (Vigna unguiculata sesquipedalis)",24,3.36,0.3,1.99,5.31,,ND,22.08,0.07,44.22,52.73,33.17,5.46,304
SLD012,Beet greens (Beta vulgaris),37,2.05,0.76,4.85,3.69,,,62.48,0.19,172,33.85,113,75,486
SLD013,"Bitter gourd, elongate (Momordica charantia)",19,1.47,0.23,2.51,3.87,55.08,2.18,4,0.03,25.19,41.42,35.81,12.98,323
SLD014,"Bitter gourd, short (Momordica charantia)",17,1.21,0.22,2.23,3.76,21.83,1.94,5.1,0.03,16.29,32.15,32.12,12.61,235
SLD015,"Bottle gourd, elongate (Lagenaria vulgaris)",10,0.46,0.15,1.64,2.15,4.6,0.74,2,0.02,18.57,14.27,IO. 64,1.51,141
SLD016,"Bottle gourd, round (Lagenaria vulgaris)",13,0.42,0.12,2.53,2.1,,0.7,2.06,0.02,15.05,16.99,10.89,1.52,116
SLD017,"Brinjal, Chinese eggplant (Solanum melongena)",24,1.28,0.33,3.46,3.83,16.83,0.73,11.45,0.08,14.4,29.51,21.18,3.04,178
SLD018,"Brinjal, little prince eggplant (Solanum melongena)",21,1.28,0.39,2.64,3.94,24.33,0.79,15.69,0.12,12.38,31.85,19.62,3.07,247
SLD019,"Brinjal, pandora striped (Solanum melongena)",29,1.49,0.31,4.51,3.92,23,1.06,14.29,0.07,18.95,26.81,18,3,260
SLD020,"Brinjal, Thai eggplant (Solanum melongena)",21,1.45,0.26,2.6,4.9,18.33,1.8,12.35,0.08,17.24,38.69,37.22,3.74,187
SLD021,"Cabbage, Chinese (Brassica rapa)",17,1.58,0.13,2.36,2.01,0.91,0.39,111,0.25,58.46,33.05,11.51,20.28,258
SLD022,"Cabbage, collard, greens (B. oleracea var. viridis)",30,3.63,0.27,2.79,2.98,8.66,0.18,125,0.2,170,54.67,45.9,22.98,292
SLD023,"Cabbage, green (B. oleracea var. capitataf. alba)",21,1.35,0.14,3.15,2.48,3.35,0.23,113,0.04,56.85,27.68,18.47,18.05,213
SLD024,"Cabbage, violet (B. oleracea var. capitataf. rubra)",23,1.51,0.22,3.62,2.32,5.3,0.19,118,0.03,,20.32,24.01,22.1,188
SLD025,Canereed leaves (Costus speciosus),33,2.52,0.52,4.3,3.23,286,ND,112,0.53,130,22.04,36.33,15.65,573
SLD026,"Capsicum, green (Capsicum annuum)",13,1.25,0.29,1.28,2.22,52.83,0.83,29,0.05,17.53,21.1,10.9,1.91,157
SLD027,"Capsicum, local (Capsicum annuum)",23,1.22,0.34,3.59,2.34,38.96,ND,68.86,1.25,12.65,24.47,11.21,4.61,240
SLD028,"Capsicum, red (Capsicum annuum)",27,1.83,0.46,3.63,2.27,51.83,NA,20,0.19,15.73,37.97,27.07,1.74,188
SLD029,"Capsicum, yellow (Capsicum annuum)",19,1.59,0.39,2.11,2.01,30.16,1.12,51.31,0.14,20.13,58.08,22.53,1.49,185
SLD030,Cassava leaves (Manihot esculenta),64,6.13,1.92,5.37,3.9,1374,,80.35,,196,56.63,26.93,13.83,500
SLD031,Cauliflower (Brassica oleracea),23,2.09,0.48,2,3.76,0.14,1.27,14,0.02,22.44,51.4,18.52,34.32,291
SLD032,Celery stalk (Apium graveolens),15,0.82,0.2,2.22,2.24,66.83,1.46,26,,38.41,39.05,11.41,10.63,289
SLD033,Cho-cho-marrow (Sechium edule),19,0.58,0.12,3.73,1.6,0.3,5.55,2,0.09,20.55,24.02,13.02,1.24,141
SLD034,"Colocasia leaves, green (Colocasia anti-quorum)",39,3.14,1.42,2.97,5.57,,2.12,390,,266,55.72,72.12,15.21,314
SLD035,"Colocasia, stem, black (Colocasia antiquorum)",23,0.76,0.34,3.83,3.01,0.41,0.21,35,0.06,29.46,20.31,11.07,0.45,381
SLD036,"Colocasia, stem, green (Colocasia antiquorum)",19,0.91,0.22,2.86,2.33,0.19,0.14,33,0.09,40.21,30.73,19.56,0.6,414
SLD037,"Corn, Baby (Zea mays)",73,2.69,1.33,11.66,6.09,0.25,31.2,75,0.13,76.51,8.69,25.47,1.4,260
SLD038,"Cucumber, Indian cucumber (Cucumis sativus)",19,0.98,0.24,3.01,2.26,0.58,1.57,8,0.02,22.1,29.51,18.22,6.13,266
SLD039,"Cucumber, Mangalore (Cucumis sativus)",17,1.01,0.25,2.56,2.22,0.76,1.5,NA,0.01,25.72,34.13,26.2,8.06,229
SLD040,"Cucumber, Persian cucumber (Cucumis sativus)",21,0.77,0.18,3.93,1.94,0.92,1.21,9,0.02,14.05,25.13,16.22,5.99,149
SLD041,Drumstick (Moringa oleifera),30,2.48,0.12,4.14,7.12,3.13,1.98,360,0.36,22.27,42.07,28.51,21.99,336
SLD042,Drumstick leaves (Moringa oleifera),59,6.03,1.74,3.96,8.29,2664,14.48,490,0.3,308,104,97.12,8.7,399
SLD043,Garden cress (Lepidium sativum),47,5.29,0.79,4.21,2.59,,0.66,460,0.73,223,38.53,79.86,25.31,380
SLD044,Golden leather fern fiddlehead (A. aureum),31,2.33,0.34,4.58,5.39,16.76,,19.02,0.03,11.3,57.62,23.75,13.77,491
SLD045,Green milkweed climber (Wattakaka volubilis),58,4.85,0.69,7.61,5.83,2419,,116,0.56,383,42.33,56.08,37.75,233
SLD046,Horse purslane (Boerhavia diffusa),20,2.42,0.21,2,1.84,1149,,158,0.46,59.57,38.17,42.93,53.5,252
SLD047,Hummingbird tree leaves (Sesbania grandiflora),70,8.01,1.35,5.21,8.6,2097,4.02,269,1.76,901,52.52,96.64,18.12,674
SLD048,Indian pennywort (Centella asiatica),15,0.64,0.47,1.93,5.73,226,,218,0.75,96.31,21.93,41.42,46.29,381
SLD049,"Jack fruit, raw (Artocarpus heterophyllus)",25,2.14,0.34,3.28,7.47,,6.87,21.48,0.06,37.32,32.23,26.08,3.89,341
SLD050,"Jack fruit, seed, mature (Artocarpus heterophyllus)",77,5.66,0.44,12.14,8.54,,1.49,13.54,0.05,40.87,32.19,50.14,3.87,459
SLD051,Knol - Khol (Brassica oleracea),16,1.69,0.34,1.53,2.8,,0.34,9.64,0.16,40.09,43.16,19.35,27.46,367
SLD052,"Knol - Khol, leaves (B. oleracea var. gongylodes)",42,3.12,0.35,6.16,2.76,1,0.59,295,0.53,368,55.02,66,26.8,309
SLD053,Ladies finger (Abelmoschus esculentus),26,2.06,0.19,3.62,3.94,12.41,7.21,21.4,0.51,92.26,57.99,55.23,7.58,254
SLD054,Lasia shoots (Lasia spinosa),33,4.1,0.83,2.03,4.05,300,,88.89,0.02,19.5,12.77,20.32,13.87,120
SLD055,Leeks (Allium ampeloprasum),30,1.74,0.49,4.64,1.94,18.56,,27.75,0.44,29.28,31.63,11.77,14.93,252
SLD056,Lettuce (Lactuca sativa),19,1.05,0.24,3.08,1.52,,0.05,88.71,0.01,58.23,31.24,36.89,18.39,228
SLD057,Malabar spinach (Basella alba),22,2.2,0.47,2.05,2.31,959,,351,0.5,163,44.79,61.37,64.51,409
SLD058,"Mango, green, raw (Mangifera indica)",50,0.75,0.09,10.8,3.08,14.5,7.82,14.3,0.7,28.56,13.59,17.74,33.08,165
SLD059,"Mushroom, Oyster, white (Pleurotus ostreatus)",27,2.54,0.42,2.92,3.02,,ND,13.59,0.03,0.9,46.82,14.42,9.04,317
SLD060,"Onion, stalk (Allium cepa)",27,2.01,0.26,3.37,5.28,,4.02,269,1.76,35.21,33.81,74.95,17.45,362
SLD061,Pak Choi leaves (Brassica rapa var. chinensis),16,1.41,0.25,1.78,1.91,205,14.43,281,0.5,150,25.95,45.28,33.73,250
SLD062,"Papaya, raw (Carica papaya)",25,0.58,0.22,4.78,2.31,24.46,15.1,312,0.46,23.12,21.74,14.84,7.52,177
SLD063,Parsley (Petroselinum crispum),72,5.55,1.14,9.43,3.87,226,15.22,441,0.3,288,78.56,49.18,53.08,466
SLD064,Passion fruit leaves (Passiflora edulis),50,5.5,1.29,3.47,4.96,944,,177,0.28,248,43.3,53.62,15.77,343
SLD065,"Plantain, ash (Musa paradisiaca)",76,2.84,0.56,14.75,3.93,0.06,,14.94,0.02,5.19,19.65,22.55,13.25,271
SLD066,"Plantain, ash, peels (Musa paradisiaca)",34,1.13,0.69,5.53,2.34,7.98,,5.25,0.05,154,28.95,88.22,2.46,235
SLD067,"Plantain, flower (Musa x paradisiaca)",19,1.36,0.63,1.79,5.12,4.27,7.08,26.9,0.08,35.09,41.77,31.43,7.44,422
SLD068,"Plantain, green (Musa x paradisiaca)",79,0.99,0.22,17.71,3.84,0.36,7.08,26.9,0.08,16.61,35.81,40.76,18.37,417
SLD069,"Plantain, stem (Musa x paradisiaca)",44,0.3,0.17,9.97,2.1,0.36,1.95,14.3,0.1,13.12,18.35,35.3,25.12,372
SLD070,"Pumpkin leaves, tender (Cucurbita maxima)",41,3.85,0.72,4.53,2.25,239,1.85,15.14,0.1,255,67.36,87.62,12.32,481
SLD071,"Pumpkin, common (Cucurbita maxima)",31,0.86,0.3,5.82,1.6,30.41,,134,2.38,18.75,24.57,9.93,5.57,244
SLD072,"Pumpkin, green, cylindrical (Cucurbita maxima)",24,0.87,0.18,4.22,2.53,30.25,,62.48,0.19,24.1,24.51,13.27,5.21,186
SLD073,"Pumpkin, orange, round (Cucurbita maxima)",21,0.95,0.16,3.33,2.66,31.53,2.18,4,0.03,16.87,19.08,7.37,8.71,213
SLD074,Radish leaves (Raphanus sativus),27,2.23,0.56,3.14,1.9,508,1.94,5.1,0.03,288,36.3,63.62,20.96,301
SLD075,Ridge gourd (Luffa acutangula),12,0.86,0.15,1.63,1.85,59.33,0.74,2,0.02,14.67,31.42,14.01,4.69,121
SLD076,Sessile joyweed (Alternanthera sessilis),28,3.15,0.55,2.34,5.18,92.25,,202,0.31,135,42.44,45.38,31.87,450
SLD077,"Snake gourd, dark green (Trichosanthes anguina)",11,0.89,0.25,1.23,2.27,5.14,0.73,11.45,0.08,27.11,31.03,21.7,5.04,104
SLD078,"Snake gourd, pale green (Trichosanthes anguina)",11,0.82,0.25,1.25,2.17,10.41,0.79,15.69,0.12,26.83,26.9,25.84,8.76,133
SLD079,Spiny gourd (Momordica dioica),47,2.13,0.5,8.46,3.14,18.03,,6.21,,38.83,52.33,40.81,4.82,146
SLD080,Sweet leaf (Sauropus androgynus),71,7.53,2.19,5,5.55,507,,137,0.23,43.32,37.37,35.34,2.21,669
SLD081,"Tamarind leaves, tender (Tamarindus indica)",71,5.84,0.49,10.04,10.7,28,0.39,111,0.25,66.93,86.86,42.1,13.43,465
SLD082,"Tomato, green (Lycopersicon esculentum)",19,1.13,0.24,2.94,1.58,6,0.18,125,0.2,8.25,22.81,13.88,8.69,220
SLD083,"Tomato, ripe, hybrid (Lycopersicon esculentum)",16,0.7,0.24,2.78,1.5,258,0.23,113,0.04,9.04,18.06,10.76,15.72,152
SLD084,"Tomato, ripe, local (Lycopersicon esculentum)",20,0.88,0.56,2.74,1.8,165,0.19,118,0.03,9.69,17.17,14.93,14.04,190
SLD085,Turkey berry (Solanum torvum),61,1.66,1.96,8.54,7.51,15.89,,70.2,3.22,105,85.78,57.46,23.2,484
SLD086,Water spinach (Ipomoea aquatica),15,0.47,0.37,2.43,4.46,1614,,84.07,0.38,49.21,21.61,18.35,35.34,271
SLD087,Wing bean (Psopocarpus tetragonolobus),21,1.84,0.2,2.76,3.78,38.74,,32.17,0.1,68.24,38.19,31.38,11.48,318
SLD088,"Zucchini, green (Cucurbita pepo)",20,1.1,0.51,2.33,2.3,7.15,4.02,269,1.76,17.26,21.38,15.41,0.4,178
SLD089,"Zucchini, yellow (Cucurbita pepo)",18,1.31,0.44,2.2,1.84,5.83,53.28,53.28,1.49,20.98,32.03,10.82,0.39,131